tzid,merged
Asia/Yerevan,Asia/Yerevan
Asia/Baku,Asia/Baku
Asia/Tbilisi,Asia/Tbilisi
Asia/Dubai,Asia/Dubai
Asia/Muscat,Asia/Dubai
Indian/Mahe,Asia/Dubai
Indian/Reunion,Asia/Dubai
Asia/Muscat,Asia/Muscat
Indian/Mauritius,Indian/Mauritius
Indian/Reunion,Indian/Reunion
Europe/Astrakhan,Europe/Samara
Europe/Samara,Europe/Samara
Europe/Saratov,Europe/Samara
Europe/Ulyanovsk,Europe/Samara
Indian/Mahe,Indian/Mahe
Asia/Kabul,Asia/Kabul
Indian/Kerguelen,Indian/Kerguelen
Asia/Almaty,Asia/Almaty
Asia/Aqtau,Asia/Almaty
Asia/Aqtobe,Asia/Almaty
Asia/Atyrau,Asia/Almaty
Asia/Oral,Asia/Almaty
Asia/Qostanay,Asia/Almaty
Asia/Qyzylorda,Asia/Almaty
Indian/Maldives,Indian/Maldives
Indian/Kerguelen,Indian/Maldives
Antarctica/Mawson,Antarctica/Mawson
Antarctica/Vostok,Antarctica/Mawson
Asia/Karachi,Asia/Karachi
Asia/Dushanbe,Asia/Dushanbe
Asia/Ashgabat,Asia/Ashgabat
Asia/Ashkhabad,Asia/Ashgabat
Asia/Samarkand,Asia/Tashkent
Asia/Tashkent,Asia/Tashkent
Asia/Yekaterinburg,Asia/Yekaterinburg
Asia/Colombo,Asia/Colombo
Asia/Kolkata,Asia/Kolkata
Asia/Calcutta,Asia/Kolkata
Asia/Kathmandu,Asia/Kathmandu
Asia/Katmandu,Asia/Kathmandu
Asia/Dhaka,Asia/Dhaka
Asia/Dacca,Asia/Dhaka
Asia/Thimphu,Asia/Thimphu
Asia/Thimbu,Asia/Thimphu
Asia/Urumqi,Asia/Urumqi
Asia/Kashgar,Asia/Urumqi
Indian/Chagos,Indian/Chagos
Asia/Bishkek,Asia/Bishkek
Asia/Omsk,Asia/Omsk
Indian/Cocos,Indian/Cocos
Asia/Yangon,Asia/Yangon
Indian/Cocos,Asia/Yangon
Asia/Rangoon,Asia/Yangon
Indian/Christmas,Indian/Christmas
Antarctica/Davis,Antarctica/Davis
Asia/Hovd,Asia/Hovd
Asia/Bangkok,Asia/Bangkok
Asia/Phnom_Penh,Asia/Bangkok
Asia/Vientiane,Asia/Bangkok
Indian/Christmas,Asia/Bangkok
Asia/Ho_Chi_Minh,Asia/Ho_Chi_Minh
Asia/Saigon,Asia/Ho_Chi_Minh
Asia/Phnom_Penh,Asia/Phnom_Penh
Asia/Vientiane,Asia/Vientiane
Asia/Barnaul,Asia/Novosibirsk
Asia/Krasnoyarsk,Asia/Novosibirsk
Asia/Novokuznetsk,Asia/Novosibirsk
Asia/Novosibirsk,Asia/Novosibirsk
Asia/Tomsk,Asia/Novosibirsk
Asia/Jakarta,Asia/Jakarta
Asia/Pontianak,Asia/Jakarta
Antarctica/Casey,Antarctica/Casey
Australia/Perth,Australia/Perth
Australia/West,Australia/Perth
Asia/Brunei,Asia/Brunei
Asia/Makassar,Asia/Makassar
Asia/Ujung_Pandang,Asia/Makassar
Asia/Macau,Asia/Macau
Asia/Macao,Asia/Macau
Asia/Shanghai,Asia/Shanghai
PRC,Asia/Shanghai
Asia/Chongqing,Asia/Shanghai
Asia/Harbin,Asia/Shanghai
Asia/Chungking,Asia/Shanghai
Asia/Hong_Kong,Asia/Hong_Kong
Hongkong,Asia/Hong_Kong
Asia/Irkutsk,Asia/Irkutsk
Asia/Kuala_Lumpur,Asia/Kuala_Lumpur
Asia/Kuching,Asia/Kuala_Lumpur
Asia/Brunei,Asia/Kuala_Lumpur
Asia/Manila,Asia/Manila
Asia/Singapore,Asia/Singapore
Singapore,Asia/Singapore
Asia/Kuala_Lumpur,Asia/Singapore
Asia/Taipei,Asia/Taipei
ROC,Asia/Taipei
Asia/Ulaanbaatar,Asia/Ulaanbaatar
Asia/Choibalsan,Asia/Ulaanbaatar
Asia/Ulan_Bator,Asia/Ulaanbaatar
Australia/Eucla,Australia/Eucla
Asia/Jayapura,Asia/Jayapura
Asia/Tokyo,Asia/Tokyo
Japan,Asia/Tokyo
Asia/Pyongyang,Asia/Pyongyang
Asia/Seoul,Asia/Seoul
ROK,Asia/Seoul
Pacific/Palau,Pacific/Palau
Asia/Dili,Asia/Dili
Asia/Chita,Asia/Chita
Asia/Khandyga,Asia/Chita
Asia/Yakutsk,Asia/Chita
Australia/Adelaide,Australia/Adelaide
Australia/Broken_Hill,Australia/Adelaide
Australia/South,Australia/Adelaide
Australia/Yancowinna,Australia/Adelaide
Australia/Darwin,Australia/Darwin
Australia/North,Australia/Darwin
Australia/Brisbane,Australia/Brisbane
Australia/Lindeman,Australia/Brisbane
Australia/Queensland,Australia/Brisbane
Antarctica/Macquarie,Australia/Sydney
Australia/Hobart,Australia/Sydney
Australia/Melbourne,Australia/Sydney
Australia/Sydney,Australia/Sydney
Australia/Tasmania,Australia/Sydney
Australia/Currie,Australia/Sydney
Australia/Victoria,Australia/Sydney
Australia/ACT,Australia/Sydney
Australia/NSW,Australia/Sydney
Australia/Canberra,Australia/Sydney
Pacific/Guam,Pacific/Guam
Pacific/Saipan,Pacific/Guam
Pacific/Saipan,Pacific/Saipan
Pacific/Chuuk,Pacific/Chuuk
Antarctica/DumontDUrville,Antarctica/DumontDUrville
Pacific/Port_Moresby,Pacific/Port_Moresby
Antarctica/DumontDUrville,Pacific/Port_Moresby
Pacific/Chuuk,Pacific/Port_Moresby
Pacific/Yap,Pacific/Port_Moresby
Pacific/Truk,Pacific/Port_Moresby
Asia/Ust-Nera,Asia/Vladivostok
Asia/Vladivostok,Asia/Vladivostok
Australia/Lord_Howe,Australia/Lord_Howe
Australia/LHI,Australia/Lord_Howe
Pacific/Bougainville,Pacific/Bougainville
Pacific/Kosrae,Pacific/Kosrae
Pacific/Pohnpei,Pacific/Kosrae
Pacific/Noumea,Pacific/Noumea
Pacific/Norfolk,Pacific/Norfolk
Asia/Magadan,Asia/Sakhalin
